,Short_Ticker,Name,Sector
850,CUB-E,Customers Bancorp Inc [Cubi/Pe],Asda store workers win equal pay fight in Supreme Court
851,CUB-F,Customers Bancorp Inc [Cubi/Pf],Asda store workers win equal pay fight in Supreme Court
852,CUBB,Customers Bancorp Inc 5.375%,
853,CUBE,Cubesmart,Real Estate
854,CUBI,Customers Bancorp,Financial Services
855,CUK,Carnival Plc ADR,Consumer Cyclical
856,CULP,Culp Inc,Consumer Cyclical
857,CURO,Curo Group Holdings Corp,Financial Services
858,CUZ,Cousins Properties Inc,Real Estate
859,CVA,Covanta Holding Corp,Industrials
860,CVE,Cenovus Energy Inc,Energy
861,CVE.W,Cenovus Energy Inc WT,Asda store workers win equal pay fight in Supreme Court
862,CVEO,Civeo Corp,Industrials
863,CVI,Cvr Energy Inc,Energy
864,CVI.U,Churchill Capital Vii Units [Cvii.U],Asda store workers win equal pay fight in Supreme Court
865,CVNA,Carvana CO Cl A,Consumer Cyclical
866,CVS,CVS Corp,Healthcare
867,CVX,Chevron Corp,Energy
868,CW,Curtiss-Wright Corp,Industrials
869,CWE.A,Clearway Energy Inc [Cwen.A],Asda store workers win equal pay fight in Supreme Court
870,CWEN,Clearway Energy Inc Cl C,Utilities
871,CWH,Camping World Holdings Inc,Consumer Cyclical
872,CWK,Cushman & Wakefield Plc,Real Estate
873,CWT,California Water Service Group Holding,Utilities
874,CX,Cemex S.A.B. DE C.V.,Basic Materials
875,CXE,Colonial High Income Muni Trust,Financial Services
876,CXH,Colonial Investment Grade Muni Trust,Financial Services
877,CXP,Columbia Property Trust Inc,Real Estate
878,CXW,Corecivic Inc,Real Estate
879,CYD,China Yuchai International,Industrials
880,CYH,Community Health Systems,Healthcare
881,CZZ,Cosan Ltd,
882,D,Dominion Resources,Utilities
883,DAC,Danaos Corp,Industrials
884,DAL,Delta Air Lines Inc,Industrials
885,DAN,Dana Inc,Consumer Cyclical
886,DAO,Youdao Inc ADR,Communication Services
887,DAR,Darling International Inc,Consumer Defensive
888,DASH,Doordash Inc Cl A,Communication Services
889,DAVA,Endava Plc,Technology
890,DB,Deutsche Bank Ag,Financial Services
891,DBD,Diebold Nixdorf Inc,Technology
892,DBI,Designer Brands Inc,Consumer Cyclical
893,DBL,Doubleline Opportunistic Credi,Financial Services
894,DCF,Dreyfus Alcentra Global Credit Income,
895,DCI,Donaldson Company,Industrials
896,DCO,Ducommun Inc,Industrials
897,DCP,Dcp Midstream LP,Energy
898,DCP-B,Dcp Midstream LP [Dcp/Pb],Asda store workers win equal pay fight in Supreme Court
899,DCP-C,Dcp Midstream LP [Dcp/Pc],Asda store workers win equal pay fight in Supreme Court
900,DCUE,Dominion Energy Inc 2019 Series A,Utilities
901,DD,Du Pont De.Nemours Inc,Basic Materials
902,DDD,3D Systems Corp,Technology
903,DDF,Delaware Dividend & Income,Financial Services
904,DDS,Dillard's,Consumer Cyclical
905,DDT,Dillard's,
906,DE,Deere & Company,Industrials
907,DEA,Easterly Government Properties,Real Estate
908,DECK,Deckers Outdoor Corp,Consumer Cyclical
909,DEH,D8 Holdings Corp Cl A,Financial Services
910,DEH.U,D8 Holdings Corp Cl A,Asda store workers win equal pay fight in Supreme Court
911,DEH.W,D8 Hldgs Corp WT [Deh/W],Asda store workers win equal pay fight in Supreme Court
912,DEI,Douglas Emmett,Real Estate
913,DELL,Dell Technologies Inc,Technology
914,DEN,Denbury Inc,Energy
915,DEO,Diageo Plc,Consumer Defensive
916,DESP,Despegar.com Corp,Consumer Cyclical
917,DEX,Delaware Enhanced Global Dividend,Financial Services
918,DFIN,Donnelly Financial Solutions Inc,Financial Services
919,DFN.U,LGL Systems Acquisition [Dfns.U],Asda store workers win equal pay fight in Supreme Court
920,DFN.W,LGL Systems Acquisition [Dfns/W],Asda store workers win equal pay fight in Supreme Court
921,DFNS,LGL Systems Acquisition Corp,Financial Services
922,DFP,Flaherty & Crumrine Dynamic,Financial Services
923,DFS,Discover Financial Services,Financial Services
924,DG,Dollar General Corp,Consumer Defensive
925,DGN.U,Dragoneer Growth Opportunities [Dgnr.U],Asda store workers win equal pay fight in Supreme Court
926,DGN.W,Dragoneer Growth Opportunities [Dgnr/W],Asda store workers win equal pay fight in Supreme Court
927,DGNR,Dragoneer Growth Opportunities Corp Cl A,Financial Services
928,DGX,Quest Diagnostics Inc,Healthcare
929,DHF,Dreyfus High Yield Strategies Fund,Financial Services
930,DHI,D.R. Horton,Consumer Cyclical
931,DHR,Danaher Corp,Healthcare
932,DHR-A,Danaher Corp [Dhr/Pa],Asda store workers win equal pay fight in Supreme Court
933,DHR-B,Danaher Corp [Dhr/Pb],Asda store workers win equal pay fight in Supreme Court
934,DHT,Dht Holdings,Energy
935,DHX,Dice Holdings,Industrials
936,DIAX,Nuveen Dow,Financial Services
937,DIN,Dineequity Inc,Consumer Cyclical
938,DIS,Walt Disney Company,Communication Services
939,DK,Delek US Holdings,Energy
940,DKL,Delek Logistics Partners LP,Energy
941,DKS,Dick's Sporting Goods Inc,Consumer Cyclical
942,DL,China Distance Education Holdings,
943,DLB,Dolby Laboratories,Technology
944,DLN-A,Dynagas Lng Partners LP [Dlng/Pa],Asda store workers win equal pay fight in Supreme Court
945,DLN-B,Dynagas Lng Partners LP [Dlng/Pb],Asda store workers win equal pay fight in Supreme Court
946,DLNG,Dynagas Lng Partners LP,Energy
947,DLR,Digital Realty Trust,Real Estate
948,DLR-C,Digital Rlty TR Inc [Dlr/Pc],Asda store workers win equal pay fight in Supreme Court
949,DLR-J,Digital Rlty TR Inc [Dlr/Pj],Asda store workers win equal pay fight in Supreme Court
950,DLR-K,Digital Rlty TR Inc [Dlr/Pk],Asda store workers win equal pay fight in Supreme Court
951,DLR-L,Digital Realty Trust Inc 5.20% Prf,Asda store workers win equal pay fight in Supreme Court
952,DLX,Deluxe Corp,Communication Services
953,DLY,Doubleline Yield Opportunities Fund,
954,DM,Desktop Metal Inc,Technology
955,DM.W,Desktop Metal Inc WT,Asda store workers win equal pay fight in Supreme Court
956,DMB,Dreyfus Municipal Bond Infrastr,Financial Services
957,DMO,Western Asset Mortgage Defined Opp,Financial Services
958,DMS,Digital Media Solutions Inc,Communication Services
959,DMS.W,Digital Media Solutions Inc WT,Asda store workers win equal pay fight in Supreme Court
960,DMY.D,Dmy Technology Group III [Dmyi.U],Asda store workers win equal pay fight in Supreme Court
961,DMY.S,Dmy Technology Group II [Dmyd.U],Asda store workers win equal pay fight in Supreme Court
962,DMY.T,Dmy Technology Group II WT [Dmyd/W],Asda store workers win equal pay fight in Supreme Court
963,DMY.U,Dmy Technology Group IV [Dmyq.U],Asda store workers win equal pay fight in Supreme Court
964,DMY.V,Dmy Technology Group III WT [Dmyi/W],Asda store workers win equal pay fight in Supreme Court
965,DMYD,Dmy Technology Group Inc II Cl A,Financial Services
966,DMYI,Dmy Technology Group Inc III Cl A,Financial Services
967,DNB,Dun & Bradstreet Holdings Inc,Technology
968,DNK,Phoenix Tree Holdings Limited ADR,Real Estate
969,DNM.W,Danimer Scientific Inc WT,Asda store workers win equal pay fight in Supreme Court
970,DNMR,Danimer Scientific Inc,
971,DNOW,Now Inc,Energy
972,DNP,Duff & Phelps Utilities Income,Financial Services
973,DNZ,D and Z Media Acquisition Corp Cl A,Financial Services
974,DNZ.U,D and Z Media Acquisition Corp Units,Asda store workers win equal pay fight in Supreme Court
975,DNZ.W,D and Z Media Acquisition Corp WT,Asda store workers win equal pay fight in Supreme Court
976,DOC,Physicians Realty Trust,Real Estate
977,DOCN,Digitalocean Holdings Inc,Technology
978,DOOR,Masonite Worldwide Hld,Industrials
979,DOV,Dover Corp,Industrials
980,DOW,Dow Inc,Basic Materials
981,DPG,Duff & Phelps Global Utility,Financial Services
982,DPZ,Domino's Pizza Inc,Consumer Cyclical
983,DQ,Daqo New Energy,Technology
984,DRD,Drdgold Ltd,Basic Materials
985,DRE,Duke Realty Corp,Real Estate
986,DRH,Diamondrock Hospitality Company,Real Estate
987,DRH-A,Diamondrock Hospitality Company 8.250%,Asda store workers win equal pay fight in Supreme Court
988,DRI,Darden Restaurants,Consumer Cyclical
989,DRQ,Dril-Quip,Energy
990,DRUA,Dominion Resources Inc,
991,DS,Drive Shack Inc,Consumer Cyclical
992,DS-B,Drive Shack Inc [Ds/Pb],Asda store workers win equal pay fight in Supreme Court
993,DS-C,Drive Shack Inc [Ds/Pc],Asda store workers win equal pay fight in Supreme Court
994,DS-D,Drive Shack Inc [Ds/Pd],Asda store workers win equal pay fight in Supreme Court
995,DSE,Duff & Phelps Select Energy ML,Financial Services
996,DSL,Doubleline Income Solutions Fun,Financial Services
997,DSM,Dreyfus Strategic Muni Bond Fund,Financial Services
998,DSSI,Diamond S Shipping Inc,Energy
999,DSU,Blackrock Debt Strategies Fund,Financial Services
1000,DSX,Diana Shipping Inc,Industrials
1001,DSX-B,Diana Shipping Inc [Dsx/Pb],Asda store workers win equal pay fight in Supreme Court
1002,DT,Dynatrace Inc,Technology
1003,DTB,Dte Energy Company 2020 Series G 4.375%,
1004,DTE,Dte Energy Company,Utilities
1005,DTF,Duff & Phelps Utilities Tax-Free Income,Financial Services
1006,DTJ,Dte Energy Company 2016 Series,
1007,DTL.P,Brookfield Dtla Fd Office TR I [Dtla/P],Asda store workers win equal pay fight in Supreme Court
1008,DTP,Dte Energy CO Units,
1009,DTW,Dte Energy Company 2017 Series E 5.25%,
1010,DTY,Dignity Plc,
1011,DUC,Duff & Phelps Utility & Corporate Trust,
1012,DUK,Duke Energy Corp,Utilities
1013,DUK-A,Duke Energy Corp [Duk/Pa],Asda store workers win equal pay fight in Supreme Court
1014,DUKB,Duke Energy Corp 5.625%,
1015,DUKH,Duke Energy Corp 5.125%,
1016,DVA,Davita Healthcare Partners Inc,Healthcare
1017,DVD,Dover Downs Entertainment,Consumer Cyclical
1018,DVN,Devon Energy Corp,Energy
1019,DWI.U,Delwinds Insurance Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1020,DWI.W,Delwinds Insurance Acquisition [Dwin/W],Asda store workers win equal pay fight in Supreme Court
1021,DWIN,Delwinds Insurance Acquisition Corp Cl A,
1022,DX,Dynex Capital,Real Estate
1023,DX-C,Dynex Capital Inc,Asda store workers win equal pay fight in Supreme Court
1024,DXC,Dxc Technology Company,Technology
1025,DY,Dycom Industries,Industrials
1026,DYFN,Angel Oak Dynamic Financial Strategies,
1027,E,Eni S.P.A.,Energy
1028,EAF,Graftech International Ltd,Industrials
1029,EAI,Entergy Arkansas Inc,
1030,EARN,Ellington Residential Mortgage,Real Estate
1031,EAT,Brinker International,Consumer Cyclical
1032,EB,Eventbrite Inc,Technology
1033,EBF,Ennis Inc,Industrials
1034,EBR,Centrais Electricas Brazil,Utilities
1035,EBR.B,Centrais Eletricas Brasileiras ADR,Asda store workers win equal pay fight in Supreme Court
1036,EBS,Emergent Biosolutions,Healthcare
1037,EC,Ecopetrol S.A.,Energy
1038,ECC,Eagle Point Credit CO Inc,Financial Services
1039,ECCB,Eagle Point Credit Company Inc,Financial Services
1040,ECCX,Eagle Point Credit Company Inc 6.6875%,
1041,ECCY,Eagle Point Credit Company Inc,
1042,ECL,Ecolab Inc,Basic Materials
1043,ECOM,Channeladvisor Corp,Technology
1044,ED,Consolidated Edison Company of New York,Utilities
1045,EDD,Emerging Markets Domestic Debt Fund,Financial Services
1046,EDF,Stone Harbor Emerging Markets,Financial Services
1047,EDI,Stone Harbor Emerging Markets,Financial Services
1048,EDN,Empresa Distribuidora Y Comercializadora,Utilities
1049,EDU,New Oriental Education & Technology,Consumer Defensive
1050,EEA,European Equity Fund,Financial Services
1051,EEX,Emerald Expositions Events Inc,Communication Services
1052,EFC,Ellington Financial Llc,Financial Services
1053,EFC-A,Ellington Financial Inc Pfd.,Asda store workers win equal pay fight in Supreme Court
1054,EFF,Eaton Vance Floating-Rate Inco,Financial Services
1055,EFL,Eaton Vance Floating-Rate 2022 Target,
1056,EFR,Eaton Vance Senior Floating-Rate Fund,Financial Services
1057,EFT,Eaton Vance Floating Rate Income Trust,Financial Services
1058,EFX,Equifax Inc,Industrials
1059,EGF,Blackrock Enhanced Government Fund,Financial Services
1060,EGHT,8X8 Inc,Technology
1061,EGO,Eldorado Gold Corp,Basic Materials
1062,EGP,Eastgroup Properties,Real Estate
1063,EGY,Vaalco Energy Inc,Energy
1064,EHC,Encompass Health Corp,Healthcare
1065,EHI,Western Asset Global High,Financial Services
1066,EHT,Eaton Vance High Income 2021 Ta,Financial Services
1067,EIC,Eagle Point Income Company Inc,
1068,EIG,Employers Holdings Inc,Financial Services
1069,EIX,Edison International,Utilities
1070,EL,Estee Lauder Companies,Consumer Defensive
1071,ELAN,Elanco Animal Health Inc,Healthcare
1072,ELAT,Elanco Animal Health Inc Units,
1073,ELC,Entergy Louisiana Llc,
1074,ELF,E.L.F. Beauty Inc,Consumer Defensive
1075,ELP,Companhia Paranaense DE Energia,Utilities
1076,ELS,Equity Lifestyle Properties,Real Estate
1077,ELVT,Elevate Credit Inc,Financial Services
1078,ELY,Callaway Golf Company,Consumer Cyclical
1079,EMD,Western Asset Emerging Market Debt Fund,Financial Services
1080,EME,Emcor Group,Industrials
1081,EMF,Templeton Emerging Markets Fund,Financial Services
1082,EMN,Eastman Chemical Company,Basic Materials
1083,EMO,Clearbridge Energy MLP Opportu,Financial Services
1084,EMP,Entergy Mississippi Inc 4.9% Bonds,
1085,EMP.U,Empower Ltd Units [Empw.U],Asda store workers win equal pay fight in Supreme Court
1086,EMP.W,Empower Ltd [Empw/W],Asda store workers win equal pay fight in Supreme Court
1087,EMPW,Empower Ltd Cl A,Financial Services
1088,EMR,Emerson Electric Company,Industrials
1089,ENB,Enbridge Inc,Energy
1090,ENBA,Enbridge Inc 6.375% Fixed-To-Floating,
1091,ENBL,Enable Midstream Partners LP,Energy
1092,ENIA,Enersis Americas S.A. American,Utilities
1093,ENIC,Enersis Chile S.A. ADR,Utilities
1094,ENJ,Entergy New Orleans Inc,
1095,ENLC,Enlink Midstream Llc,Energy
1096,ENO,Entergy New Orleans Incfirst,
1097,ENP.U,Executive Network Partnering Corp Cl A,Asda store workers win equal pay fight in Supreme Court
1098,ENP.W,Executive Network Partnering Corp WT,Asda store workers win equal pay fight in Supreme Court
1099,ENPC,Executive Network Partnering Corp Cl A,Financial Services
1100,ENR,Energizer Holdings Inc,Industrials
1101,ENR-A,Energizer Holdings Inc [Enr/Pa],Asda store workers win equal pay fight in Supreme Court
1102,ENS,Enersys Inc,Industrials
1103,ENV,Envestnet Inc,Technology
1104,ENVA,Enova International Inc,Financial Services
1105,ENZ,Enzo Biochem,Healthcare
1106,EOD,Wells Fargo Global Dividend Opportunity,Financial Services
1107,EOG,Eog Resources,Energy
1108,EOI,Eaton Vance Enhance Equity,Financial Services
1109,EOS,Eaton Vance Enhanced Equity II,Financial Services
1110,EOT,Eaton Vance Muni Income Trust,Financial Services
1111,EP-C,El Paso Energy Capital [Ep/Pc],Asda store workers win equal pay fight in Supreme Court
1112,EPAC,Actuant Corp,Industrials
1113,EPAM,Epam Systems Inc,Technology
1114,EPC,Edgewell Personal Care,Consumer Defensive
1115,EPD,Enterprise Products Partners LP,Energy
1116,EPR,Entertainment Properties Trust,Real Estate
1117,EPR-C,Epr Pptys [Epr/Pc],Asda store workers win equal pay fight in Supreme Court
1118,EPR-E,Epr Pptys [Epr/Pe],Asda store workers win equal pay fight in Supreme Court
1119,EPR-G,Epr Pptys [Epr/Pg],Asda store workers win equal pay fight in Supreme Court
1120,EPRT,Essential Properties Realty Trust Inc,Real Estate
1121,EPW.U,Empowerment & Inclusion Cap [Epwr.U],Asda store workers win equal pay fight in Supreme Court
1122,EPW.W,Empowerment & Inclusion Cap I WT,Asda store workers win equal pay fight in Supreme Court
1123,EPWR,Empowerment & Inclusion Capital I Corp,Financial Services
1124,EQC,Equity Commonwealth,Real Estate
1125,EQC-D,Equity Comwlth [Eqc/Pd],Asda store workers win equal pay fight in Supreme Court
1126,EQD,Equity Distribution Acquisition Corp Cl,Financial Services
1127,EQD.U,Equity Distribution Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1128,EQD.W,Equity Distribution Acquisition Corp WT,Asda store workers win equal pay fight in Supreme Court
1129,EQH,Axa Equitable Holdings Inc,Financial Services
1130,EQH-A,Axa Equitable Holdings Inc 5.25% Prf,Asda store workers win equal pay fight in Supreme Court
1131,EQH-C,Equitable Holdings Inc,Asda store workers win equal pay fight in Supreme Court
1132,EQH.U,Eq Health Acquisition Corp [Eqha.U],Asda store workers win equal pay fight in Supreme Court
1133,EQH.W,Eq Health Acquisition Corp WT [Eqha/W],Asda store workers win equal pay fight in Supreme Court
1134,EQHA,Eq Health Acquisition Corp Cl A,Financial Services
1135,EQNR,Equinor ASA,Energy
1136,EQR,Equity Residential,Real Estate
1137,EQS,Equus Total Return,Financial Services
1138,EQT,Eqt Corp,Energy
1139,ERF,Enerplus Corp,Energy
1140,ERJ,Embraer-Empresa Brasileira DE,Industrials
1141,ES,Eversource Energy,Utilities
1142,ESE,Esco Technologies Inc,Technology
1143,ESGC,Eros Stx Global Corp,Communication Services
1144,ESI,Element Solutions Inc,Basic Materials
1145,ESM.U,Esm Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1146,ESNT,Essent Group Ltd,Financial Services
1147,ESRT,Empire State Realty Trust Inc,Real Estate
1148,ESS,Essex Property Trust,Real Estate
1149,ESTC,Elastic N.V.,Technology
1150,ESTE,Earthstone Energy,Energy
1151,ET,Energy Transfer LP,Energy
1152,ETB,Eaton Vance Tax-Managed Buy-Write,Financial Services
1153,ETG,Eaton Vance Tax-Advantaged Global,Financial Services
1154,ETH,Ethan Allen Interiors Inc,Consumer Cyclical
1155,ETI.P,Entergy Texas Inc 5.375% Series A,Asda store workers win equal pay fight in Supreme Court
1156,ETJ,Eaton Vance Risk-Managed Diversified,Financial Services
1157,ETM,Entercom Communications Corp,Communication Services
1158,ETN,Eaton Corp,Industrials
1159,ETO,Eaton Vance Tax-Advantage Global,Financial Services
1160,ETP-C,Energy Transfer Operating L P [Etp/Pc],Asda store workers win equal pay fight in Supreme Court
1161,ETP-D,Energy Transfer Operating L P [Etp/Pd],Asda store workers win equal pay fight in Supreme Court
1162,ETP-E,Energy Transfer Operating L P [Etp/Pe],Asda store workers win equal pay fight in Supreme Court
1163,ETR,Entergy Corp,Utilities
1164,ETRN,Equitrans Midstream Corp,Energy
1165,ETV,Eaton Vance Corp,Financial Services
1166,ETW,Eaton Vance Corp,Financial Services
1167,ETW.W,E2Open Parent Hldg Inc WT,Asda store workers win equal pay fight in Supreme Court
1168,ETWO,E2Open Parent Hldg Inc,Technology
1169,ETX,Eaton Vance Municipal Income T,Financial Services
1170,ETY,Eaton Vance Tax-Managed Diversified,Financial Services
1171,EURN,Euronav NV,Energy
1172,EV,Eaton Vance Corp,Financial Services
1173,EVA,Enviva Partners LP,Basic Materials
1174,EVC,Entravision Communications Corp,Communication Services
1175,EVF,Eaton Vance Senior Income Trust,Financial Services
1176,EVG,Eaton Vance Short Diversified,Financial Services
1177,EVH,Evolent Health Inc Cl A Com,Healthcare
1178,EVN,Eaton Vance Muni Income Trust,Financial Services
1179,EVR,Evercore Partners Inc,Financial Services
1180,EVRG,Evergy Inc,Utilities
1181,EVRI,Everi Holdings Inc,Consumer Cyclical
1182,EVT,Eaton Vance Tax Advantaged Dividend,Financial Services
1183,EVTC,Evertec Inc,Technology
1184,EW,Edwards Lifesciences Corp,Healthcare
1185,EXD,Eaton Vance Tax-Advantaged Bond,Financial Services
1186,EXG,Eaton Vance Tax-Managed Global,Financial Services
1187,EXK,Endeavour Silver Corp,Basic Materials
1188,EXP,Eagle Materials Inc,Basic Materials
1189,EXPR,Express Inc,Consumer Cyclical
1190,EXR,Extra Space Storage Inc,Real Estate
1191,EXTN,Exterran Corp,Energy
1192,F,Ford Motor Company,Consumer Cyclical
1193,F-B,Ford Mtr CO Del [F/Pb],Asda store workers win equal pay fight in Supreme Court
1194,F-C,Ford Motor Company 6% Notes Due December,Asda store workers win equal pay fight in Supreme Court
1195,FAC.S,Freedom Acquisition I [Fact.U],Asda store workers win equal pay fight in Supreme Court
1196,FAC.U,Figure Acquisition Corp I [Faca.U],Asda store workers win equal pay fight in Supreme Court
1197,FAF,First American Corp,Financial Services
1198,FAI.U,Fortress Value Acquisition Corp II,Asda store workers win equal pay fight in Supreme Court
1199,FAI.W,Fortress Value Acquisition Corp II,Asda store workers win equal pay fight in Supreme Court
1200,FAII,Fortress Value Acquisition Corp II Cl A,Financial Services
1201,FAM,First Trust/Aberdeen Global Opportunity,Financial Services
1202,FBC,Flagstar Bancorp,Financial Services
1203,FBHS,Fortune Brands Home & Security,Consumer Cyclical
1204,FBK,Fb Financial Corp,Financial Services
1205,FBP,First Bancorp,Financial Services
1206,FC,Franklin Covey Company,Industrials
1207,FCA.U,Fortress Capital Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1208,FCA.W,Fortress Capital Acquisition Corp WT,Asda store workers win equal pay fight in Supreme Court
1209,FCAX,Fortress Capital Acquisition Corp Cl A,Financial Services
1210,FCF,First Commonwealth Financial Corp,Financial Services
1211,FCN,Fti Consulting,Industrials
1212,FCPT,Four Corners Property Trust IN,Real Estate
1213,FCRW,First Eagle Alternative Capital Gbc Inc,
1214,FCRZ,First Eagle Alternative Capital Bdc Inc,
1215,FCT,Senior Floating Rate II,Financial Services
1216,FCX,Freeport-Mcmoran Inc,Basic Materials
1217,FDEU,First Trust Dynamic Europe Equi,Financial Services
1218,FDP,Fresh Del Monte Produce,Consumer Defensive
1219,FDS,Factset Research Systems Inc,Financial Services
1220,FDX,Fedex Corp,Industrials
1221,FE,Firstenergy Corp,Utilities
1222,FEDU,Four Seasons Education Cayman Inc,Consumer Defensive
1223,FEI,First Trust MLP and Energy Inc,Financial Services
1224,FENG,Phoenix New Media Ltd,Communication Services
1225,FEO,First Trust/Aberdeen Emerging,Financial Services
1226,FERG,Ferguson Plc,Industrials
1227,FET,Forum Energy Technologies Inc,Energy
1228,FF,Futurefuel Corp,Basic Materials
1229,FFA,First Trust Enhanced Equity Income Fund,Financial Services
1230,FFC,Flaherty Crumrine/Claymore Preferred,Financial Services
1231,FFG,Fbl Financial Group,Financial Services
1232,FGB,Specialty Finance and Financial Fund,Financial Services
1233,FGN.U,Fg New America Acquisition Corp 1,Asda store workers win equal pay fight in Supreme Court
1234,FGN.W,Fg New America Acquisition Corp [Fgna/W],Asda store workers win equal pay fight in Supreme Court
1235,FGNA,Fg New America Acquisition Corp Cl A,Financial Services
1236,FHI,Federated Investors,Financial Services
1237,FHN,First Horizon Corp,Financial Services
1238,FHN-A,First Horizon National Corp [Fhn/Pa],Asda store workers win equal pay fight in Supreme Court
1239,FHN-B,First Horizon National Corp ADR,Asda store workers win equal pay fight in Supreme Court
1240,FHN-C,First Horizon National Corp ADR,Asda store workers win equal pay fight in Supreme Court
1241,FHN-D,First Horizon National Corp ADR,Asda store workers win equal pay fight in Supreme Court
1242,FHN-E,First Horizon National Corp,Asda store workers win equal pay fight in Supreme Court
1243,FHS,First High-School Education Group ADR,Consumer Defensive
1244,FI,Frank's International N.V.,Energy
1245,FICO,Fair Isaac and Company Inc,Technology
1246,FIF,First Trust Energy Infrastruct,Financial Services
1247,FINS,Angel Oak Financial Strategies Income,
1248,FINV,Finvolution Group,Financial Services
1249,FIS,Fidelity National Information Services,Technology
1250,FIV,First Trust Senior Floating Rate 2022,Financial Services
1251,FIX,Comfort Systems USA,Industrials
1252,FL,Footlocker Inc,Consumer Cyclical
1253,FLC,Flaherty & Crumrine/Claymore Total,Financial Services
1254,FLM.U,Flame Acquisition Corp [Flme.U],Asda store workers win equal pay fight in Supreme Court
1255,FLNG,Flex Lng Ltd,Energy
1256,FLO,Flowers Foods,Consumer Defensive
1257,FLOW,SPX Flow Inc,Industrials
1258,FLR,Fluor Corp,Industrials
1259,FLS,Flowserve Corp,Industrials
1260,FLT,Fleetcor Technologies,Technology
1261,FLY,Fly Leasing Ltd,Industrials
1262,FMA.U,Firstmark Horizon Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1263,FMA.W,Firstmark Horizon Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
1264,FMAC,Firstmark Horizon Acquisition Corp Cl A,Financial Services
1265,FMC,FMC Corp,Basic Materials
1266,FMN,Federated Premier Muni,Financial Services
1267,FMO,Fiduciary/Claymore MLP Opportunity Fund,Financial Services
1268,FMS,Fresenius Medical Care Corp,Healthcare
1269,FMX,Fomento Economico Mexicano S.A.B. DE,Consumer Defensive
1270,FMY,First Trust/Fidac Mortgage Income Fund,Financial Services
1271,FN,Fabrinet,Technology
1272,FNB,F.N.B. Corp,Financial Services
1273,FNB-E,Fnb Corp Florida [Fnb/Pe],Asda store workers win equal pay fight in Supreme Court
1274,FND,Floor & Decor Holdings Inc,Consumer Cyclical
1275,FNF,Fidelity National Financial,Financial Services
1276,FNV,Franco Nev Corp,Basic Materials
1277,FOE,Ferro Corp,Basic Materials
1278,FOF,Cohen & Steers Closed-End Opportunity,Financial Services
1279,FOR,Forestar Group Inc,Real Estate
1280,FOUR,Shift4 Payments Inc,Technology
1281,FPA.U,Far Peak Acquisition Corp [Fpac.U],Asda store workers win equal pay fight in Supreme Court
1282,FPA.W,Far Peak Acquisition Corp WT [Fpac/W],Asda store workers win equal pay fight in Supreme Court
1283,FPAC,Far Peak Acquisition Corporation Cl A,Financial Services
1284,FPF,First Trust Intermediate Durat,Financial Services
1285,FPH,Five Point Holdings Llc Cl A,Real Estate
1286,FPI,Farmland Partners Inc,Real Estate
1287,FPI-B,Farmland Partners Inc [Fpi/Pb],Asda store workers win equal pay fight in Supreme Court
1288,FPL,First Trust New Opportunities M,Financial Services
1289,FR,First Industrial Realty Trust,Real Estate
1290,FRA,Blackrock Floating Rate Income Fund,Financial Services
1291,FRC,First Republic Bank,Financial Services
1292,FRC-G,First Republic Bank San Francisco,Asda store workers win equal pay fight in Supreme Court
1293,FRC-H,First Republic Bank San Francisco,Asda store workers win equal pay fight in Supreme Court
1294,FRC-I,First Rep Bk San Francisco [Frc/Pi],Asda store workers win equal pay fight in Supreme Court
1295,FRC-J,First Republic Bank Prf Perpetual USD Dp,Asda store workers win equal pay fight in Supreme Court
1296,FRC-K,First Republic Bank,Asda store workers win equal pay fight in Supreme Court
1297,FRC-L,First Republic Bank [San Francisco,Asda store workers win equal pay fight in Supreme Court
1298,FRO,Frontline Ltd,Energy
1299,FRT,Federal Realty Investment Trust,Real Estate
1300,FRT-C,Federal Realty Invt TR [Frt/Pc],Asda store workers win equal pay fight in Supreme Court
1301,FRX,Forest Road Acquisition Corp Cl A,Financial Services
1302,FRX.S,Forest Road Acquisition Corp II [Frxb.U],Asda store workers win equal pay fight in Supreme Court
1303,FRX.U,Forest Road Acquisition Corp Units,Asda store workers win equal pay fight in Supreme Court
1304,FRX.W,Forest Road Acquisition Corp WT,Asda store workers win equal pay fight in Supreme Court
1305,FSD,High Income Long Short Fund,Financial Services
1306,FSK,FS KKR Capital Corp,Financial Services
1307,FSKR,FS KKR Capital Corp II,Financial Services
1308,FSLF,First Eagle Senior Loan Fund,Financial Services
1309,FSLY,Fastly Inc,Technology
1310,FSM,Fortuna Silver Mines,Basic Materials
1311,FSN.U,Fusion Acquisition Corp II [Fsnb.U],Asda store workers win equal pay fight in Supreme Court
1312,FSR,Fisker Inc,Consumer Cyclical
1313,FSR.W,Fisker Inc WT,Asda store workers win equal pay fight in Supreme Court
1314,FSS,Federal Signal Corp,Industrials
1315,FST,Fast Acquisition Corp Cl A,Financial Services
1316,FST.U,Fast Acquisition Corp Units,Asda store workers win equal pay fight in Supreme Court
